代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,,
695,大成景益平稳收益混合,1.4353,0.07%,-0.76%,-1.31%,-1.78%,5.05%,43.50%,,
696,汇添富环保行业股票,0.9035,-6.47%,-16.80%,-30.83%,-38.65%,-29.05%,-8.90%,,
697,汇添富移动互联股票,0.9068,-12.86%,-26.68%,-35.88%,-36.98%,-43.41%,-8.50%,,
698,宝盈科技30混合,1.1856,-10.60%,-21.39%,-23.89%,-25.73%,-19.97%,19.80%,,
699,中银薪钱包货币,0.8099,0.25%,0.92%,2.00%,4.23%,10.70%,16.61%,,
700,泰达宏利货币B,0.5916,0.27%,0.78%,1.83%,4.04%,11.01%,16.77%,,
701,景顺长城景丰货币A,0.6506,0.22%,0.68%,1.55%,3.58%,9.81%,14.26%,,
704,易方达天天增利货币A,0.8518,0.24%,0.85%,1.88%,4.05%,10.97%,16.91%,,
705,易方达天天增利货币B,0.9175,0.26%,0.91%,2.01%,4.30%,11.77%,18.11%,,
706,中邮多策略混合,1.085,-2.08%,-5.33%,-8.14%,-16.23%,-7.43%,8.40%,,
707,景顺长城景丰货币B,0.7145,0.24%,0.74%,1.67%,3.83%,10.61%,15.37%,,
708,华安安享混合,1.1455,0.00%,0.09%,0.61%,3.06%,8.01%,14.60%,,
709,华安汇财通货币,0.8497,0.26%,0.87%,1.89%,4.04%,10.78%,16.37%,,
710,交银现金宝货币A,0.7886,0.29%,0.88%,1.76%,3.54%,9.06%,13.58%,,
711,嘉实医疗保健股票,1.2998,-6.21%,-22.46%,-20.32%,-10.73%,3.59%,29.80%,,
712,上投摩根天添宝货币A,0.594,0.19%,0.66%,1.52%,3.50%,8.56%,10.92%,,
713,上投摩根天添宝货币B,0.6616,0.22%,0.72%,1.64%,3.75%,9.34%,11.93%,,
714,诺安稳健回报灵活配置混合,1.3233,0.30%,-0.97%,-0.68%,0.67%,9.35%,39.20%,,
715,民生加银家盈理财月度E,0.9144,0.28%,0.99%,2.12%,4.43%,12.29%,18.10%,,
716,工银薪金货币B,1.014,0.30%,1.00%,2.09%,4.37%,11.14%,17.45%,,
717,融通转型三动力灵活配置混合,1.214,-0.82%,-9.89%,-15.30%,-12.30%,6.78%,21.20%,,
718,融通转型三动力灵活配置混合(后端),,,,,,,,,
719,南方现金通E,0.8538,0.27%,0.92%,1.96%,4.17%,11.27%,17.61%,,
720,南方稳利1年定开债C,1.0192,0.39%,1.19%,1.90%,3.03%,8.61%,16.83%,,
721,兴业货币A,1.7855,0.22%,0.66%,1.51%,3.45%,9.55%,14.20%,,
722,兴业货币B,1.8523,0.24%,0.72%,1.63%,3.70%,10.34%,15.34%,,
723,建信稳定添利债券C,0.984,-0.60%,-2.08%,-3.24%,-6.00%,-0.40%,25.54%,,
724,大成添利宝货币A,0.6948,0.23%,0.82%,1.78%,3.87%,10.52%,15.71%,,
725,大成添利宝货币B,0.7606,0.25%,0.88%,1.90%,4.13%,11.33%,16.85%,,
726,大成添利宝货币E,0.722,0.24%,0.84%,1.83%,3.98%,10.86%,16.21%,,
727,融通健康产业灵活配置混合,0.8665,-9.96%,-24.91%,-25.88%,-21.31%,-22.01%,-13.20%,,
728,工银目标收益一年定开C,1.1115,-0.27%,1.37%,2.02%,3.06%,6.02%,15.88%,,
729,建信中小盘先锋股票,1.1191,-7.07%,-18.33%,-25.81%,-26.30%,-24.25%,11.80%,,
730,博时现金宝货币A,0.8204,0.27%,0.90%,1.94%,4.13%,10.83%,15.61%,,
731,融通健康产业灵活配置混合(后端),,,,,,,,,
734,博时天天增利货币A,0.6297,0.20%,0.56%,1.35%,3.11%,9.16%,13.64%,,
735,博时天天增利货币B,0.6953,0.22%,0.63%,1.47%,3.36%,9.95%,14.78%,,
736,诺安聚利债券A,1.1372,0.62%,1.16%,3.08%,4.31%,13.06%,20.64%,,
737,诺安聚利债券C,1.1221,0.54%,0.99%,2.93%,3.79%,11.53%,18.44%,,
738,中信建投货币A,0.5009,0.20%,0.80%,1.49%,3.25%,8.70%,13.20%,,
739,平安大华新鑫先锋A,0.8377,-12.82%,-19.00%,-28.31%,-32.65%,-43.08%,-17.70%,,
740,兴银货币B,0.7529,0.25%,0.73%,1.66%,3.71%,10.09%,14.88%,,
741,兴银货币A,0.685,0.23%,0.68%,1.56%,3.50%,9.43%,13.99%,,
742,国泰新经济灵活配置混合,1.6048,-5.48%,-18.52%,-18.12%,-24.13%,38.74%,108.94%,,
743,红塔红土盛世普益混合发起式,0.9233,-5.09%,-11.46%,-18.22%,-21.03%,-8.95%,4.98%,,
744,北信瑞丰稳定收益A,1.1193,0.63%,2.10%,3.28%,6.98%,13.72%,36.79%,,
745,北信瑞丰稳定收益C,1.1153,0.63%,2.10%,3.02%,6.53%,12.72%,35.45%,,
746,招商行业精选股票基金,1.2966,-3.61%,-12.18%,-16.31%,-18.38%,-1.23%,28.30%,,
747,广发逆向策略混合,1.4046,-0.36%,-9.66%,-14.93%,-9.49%,-2.03%,40.20%,,
748,广发活期宝货币A,0.7576,0.24%,0.85%,1.89%,4.11%,11.11%,15.61%,,
750,安信现金增利货币A,0.5704,0.18%,0.63%,1.48%,3.38%,9.69%,13.56%,,
751,嘉实新兴产业股票,1.8105,-6.70%,-16.24%,-15.85%,-11.23%,21.30%,81.10%,,
753,华宝量化对冲混合A,1.0573,-0.08%,-0.14%,0.38%,1.62%,8.92%,24.60%,,
754,华宝量化对冲混合C,1.0514,-0.10%,-0.25%,0.18%,1.22%,8.47%,23.87%,,
755,富安达新兴成长混合,0.8153,-7.97%,-11.74%,-22.68%,-40.92%,-36.13%,-17.79%,,
756,建信潜力新蓝筹股票,1.1275,-5.70%,-16.79%,-24.90%,-23.05%,-9.42%,12.50%,,
757,华富智慧城市灵活配置混合,0.6392,-10.86%,-22.52%,-30.43%,-34.76%,-48.01%,-29.04%,,
758,招商招钱宝货币C,0.8386,0.26%,0.90%,1.94%,4.18%,11.19%,16.27%,,
759,平安大华财富宝货币,0.839,0.26%,0.92%,1.98%,4.21%,11.62%,17.41%,,
760,工银财富货币A,0.5838,0.20%,0.65%,1.52%,3.52%,9.67%,10.43%,,
761,国富健康优质生活股票,0.9816,-1.70%,-11.21%,-16.57%,-21.57%,-4.10%,-1.80%,,
762,汇添富绝对收益定开混合,1.1301,0.62%,-2.91%,1.80%,7.60%,--,13.30%,,
763,工银新财富灵活配置混合,1.4173,0.28%,-2.94%,-5.15%,-4.96%,7.42%,41.80%,,
764,万家货币E,0.799,0.25%,0.87%,1.82%,3.86%,10.29%,15.26%,,
765,上投岁岁盈定开债券B,1.0382,0.78%,1.67%,2.17%,4.53%,1.47%,2.98%,,
766,上投岁岁盈定开债券D,1.0352,0.78%,1.77%,2.37%,4.55%,1.27%,2.78%,,
767,华富国泰民安灵活配置混合,0.8044,-9.75%,-16.67%,-25.60%,-28.25%,-1.59%,-19.50%,,
768,长城久盈纯债分级债券,1.02,0.25%,1.00%,2.29%,3.85%,14.80%,36.04%,,
769,长城久盈纯债分级债券A,,,,,,,,,
770,长城久盈纯债分级债券B,1.0201,0.29%,1.02%,2.33%,4.00%,9.79%,41.30%,,
771,诺安聚鑫宝货币A,0.6209,0.20%,0.68%,1.59%,3.56%,9.87%,15.06%,,
772,景顺长城中国回报灵活配置,0.9844,-7.93%,-22.86%,-23.89%,-28.36%,-18.20%,-2.50%,,
773,万家现金宝A,0.7527,0.23%,0.80%,1.75%,3.75%,10.19%,13.39%,,
778,鹏华先进制造股票,1.2336,-5.77%,-14.40%,-21.59%,-26.68%,-2.44%,24.20%,,
779,诺安聚鑫宝货币B,0.6158,0.20%,0.68%,1.59%,3.56%,9.92%,15.12%,,
780,鹏华医疗保健股票,1.0637,-5.89%,-20.97%,-19.03%,-9.21%,-11.49%,5.50%,,
781,国投岁增利一年定开债券A,1.0658,0.38%,2.01%,2.11%,4.40%,9.22%,20.58%,,
782,国投岁增利一年定开债券C,1.0558,0.38%,1.93%,2.03%,4.14%,8.12%,19.04%,,
783,博时月月盈短期理财债券A,,0.35%,0.92%,0.92%,0.92%,--,1.25%,,
784,博时月月盈短期理财债券R,,0.35%,0.92%,1.59%,1.88%,--,2.21%,,
785,华融现金增利货币A,0.6438,0.20%,0.68%,1.57%,3.73%,9.91%,13.80%,,
786,华融现金增利货币B,0.7099,0.22%,0.74%,1.70%,3.87%,10.58%,14.78%,,
787,华融现金增利货币C,0.6475,0.20%,0.68%,1.58%,3.65%,9.81%,13.71%,,
788,前海开源中国成长混合,0.8389,-9.75%,-12.26%,-15.56%,-22.33%,-27.92%,-8.19%,,
789,易方达龙宝货币A,0.815,0.26%,0.85%,1.85%,3.96%,10.95%,15.55%,,
790,易方达龙宝货币B,0.8807,0.28%,0.91%,1.98%,4.21%,11.75%,16.69%,,
791,银华双月定期理财债券A,0.8946,0.27%,0.93%,1.97%,4.22%,11.54%,16.54%,,
792,招商定期宝六个月期理财债券,1.0125,0.34%,1.04%,2.10%,4.44%,--,5.66%,,
793,工银高端制造股票,0.6572,-9.00%,-21.69%,-30.62%,-40.05%,-44.13%,-34.30%,,
794,宝盈睿丰创新混合A/B,0.9632,-7.81%,-19.47%,-23.60%,-27.60%,-33.06%,-3.20%,,
795,宝盈睿丰创新混合A/B(后端),,,,,,,,,
796,宝盈睿丰创新混合C,0.8779,-7.84%,-19.60%,-23.90%,-28.12%,-34.57%,-11.80%,,
797,方正富邦金小宝货币,0.7933,0.25%,0.86%,1.91%,4.13%,11.33%,15.70%,,
798,民生加银家盈季度定期宝,--,0.23%,0.94%,2.00%,4.43%,--,4.65%,,
799,民生加银家盈半年定期宝,0.9997,0.03%,0.48%,1.71%,--,--,2.29%,,
800,华商未来主题混合,0.5869,-6.76%,-15.04%,-26.06%,-37.78%,-47.66%,-40.70%,,
801,中金纯债A,1.1721,0.69%,1.56%,2.27%,3.99%,9.64%,17.20%,,
802,中金纯债C,1.1511,0.70%,1.50%,2.13%,3.60%,8.18%,15.10%,,
803,工银研究精选股票,1.1117,-7.66%,-10.25%,-18.83%,-22.64%,-17.76%,12.10%,,
804,中信建投稳利保本,1.0348,3.35%,-0.15%,-0.38%,-0.09%,1.30%,7.02%,,
805,中银新经济灵活配置混合,0.8698,-4.28%,-10.47%,-26.97%,-35.79%,-44.46%,-12.80%,,
808,招商招利1个月期理财债券A,0.8405,0.25%,0.91%,1.97%,4.14%,11.73%,16.76%,,
809,招商招利1个月期理财债券B,0.8403,0.25%,0.91%,1.97%,4.14%,11.73%,16.99%,,
810,富国收益增强债券A,1.1844,-0.19%,0.06%,0.73%,1.97%,10.12%,30.83%,,
812,富国收益增强债券C,1.1624,-0.19%,-0.02%,0.57%,1.41%,8.68%,28.57%,,
813,鑫元合享分级债券,1.0121,0.52%,1.51%,2.48%,4.35%,7.10%,13.99%,,
814,鑫元合享分级债券A,,,,,,,,,
815,鑫元合享分级债券B,1.0029,0.62%,1.85%,2.49%,3.70%,7.17%,15.64%,,
816,南方理财金交易型货币A,0.6575,0.22%,0.75%,1.70%,3.78%,10.13%,13.53%,,
817,中银安心回报,1.0222,0.78%,2.37%,4.21%,6.40%,12.49%,19.14%,,
818,诺安天天宝C,0.7264,0.23%,0.78%,1.77%,3.86%,9.98%,14.17%,,
822,东海美丽中国灵活配置,0.7828,-4.31%,-20.06%,-23.22%,-26.21%,-39.49%,-22.30%,,
823,银华高端制造业,0.6741,-6.29%,-15.30%,-23.17%,-23.52%,-33.79%,-33.00%,,
824,圆信永丰双红利A,0.9864,-0.60%,-11.88%,-18.50%,-15.47%,22.88%,105.79%,,
825,圆信永丰双红利C,0.9721,-0.71%,-12.10%,-18.78%,-16.23%,19.05%,95.97%,,
826,广发百发100指数A,0.7748,-1.28%,-15.04%,-18.44%,-18.53%,-16.32%,-0.93%,,
827,广发百发100指数E,0.7728,-1.40%,-15.07%,-18.48%,-18.57%,-16.45%,-1.17%,,
828,泰达转型机遇,0.6303,-4.32%,-19.22%,-29.65%,-31.60%,-28.32%,-22.73%,,
829,易方达天天发货币A,0.7461,0.24%,0.76%,1.74%,3.95%,--,6.68%,,
830,易方达天天发货币B,0.7584,0.26%,0.82%,1.87%,4.21%,--,7.11%,,
831,工银医疗保健股票,1.2657,-7.40%,-22.97%,-22.83%,-13.19%,-8.27%,26.40%,,
832,天弘现金管家货币C,0.5515,0.20%,0.68%,1.70%,3.68%,9.62%,13.63%,,
833,易方达掌柜季季盈理财债券A,0.8304,0.25%,0.92%,2.02%,4.35%,--,5.86%,,
834,大成纳斯达克100指数,1.7183,-6.06%,0.29%,15.27%,18.53%,58.47%,72.10%,,
835,华润元大富时中国A50指数,1.5412,2.32%,-2.53%,-9.77%,-5.05%,21.50%,54.30%,,
836,国投瑞银钱多宝货币A,1.5719,0.29%,0.96%,2.05%,4.41%,11.53%,15.68%,,
837,国投瑞银钱多宝货币I,1.5719,0.29%,0.96%,2.05%,4.41%,11.53%,15.68%,,
839,上投摩根纯债丰利债券A,1.0021,-0.89%,-1.28%,-0.31%,1.88%,5.12%,10.39%,,
840,上投摩根纯债丰利债券C,1.0011,-0.89%,-1.09%,-0.11%,2.00%,4.62%,9.55%,,
841,富国新回报灵活配置A,1.1228,-0.27%,-0.18%,0.36%,1.45%,2.75%,12.20%,,
842,富国新回报灵活配置A(后端),,,,,,,,,
843,富国新回报灵活配置C,1.1069,-0.27%,-0.27%,0.18%,1.00%,1.65%,10.60%,,
844,南方绝对收益,1.2209,-1.48%,-1.81%,-3.62%,3.29%,8.80%,25.27%,,
845,国投瑞银信息消费混合,0.9145,0.43%,-14.25%,-24.51%,-23.26%,-1.18%,45.47%,,
846,中融货币C,0.7366,0.28%,0.84%,1.86%,4.04%,11.36%,16.22%,,
847,中融货币A,0.6687,0.26%,0.78%,1.74%,3.79%,10.56%,15.11%,,
848,工银添益快线货币,0.8741,0.27%,0.91%,1.94%,4.09%,10.85%,14.74%,,
849,汇丰晋信双核策略混合A,0.9529,-3.52%,-8.88%,-14.80%,-12.24%,25.53%,81.71%,,
850,汇丰晋信双核策略混合C,0.9492,-3.55%,-9.00%,-15.05%,-12.60%,26.56%,81.44%,,
854,鹏华养老产业,1.3866,-0.79%,-20.09%,-18.58%,-12.69%,3.46%,37.60%,,
855,上投摩根天添盈货币A,0.62,0.20%,0.63%,1.48%,3.40%,8.93%,11.66%,,
856,上投摩根天添盈货币B,,0.29%,0.95%,1.98%,3.96%,9.55%,11.70%,,
857,上投摩根天添盈货币E,0.6581,0.21%,0.67%,1.56%,3.56%,9.42%,12.32%,,
858,融通通瑞债券A/B(后端),,,,,,,,,
859,融通通瑞债券C,1.0385,0.00%,-0.48%,-1.80%,-0.29%,0.97%,3.90%,,
860,银华惠增利货币,0.815,0.26%,0.91%,1.98%,4.25%,11.10%,14.05%,,
861,长城货币E,0.7559,0.25%,0.79%,1.75%,3.91%,10.55%,12.90%,,
862,富国天时货币C,0.7195,0.24%,0.77%,1.72%,3.78%,9.80%,13.33%,,
863,富国天时货币D,0.5563,0.19%,0.62%,1.41%,3.13%,7.98%,11.53%,,
865,大成景利混合,1.1273,0.18%,-0.97%,-3.67%,-4.97%,14.80%,25.25%,,
866,华宝制造股票,0.9585,-3.40%,-15.87%,-19.78%,-26.39%,-14.37%,-3.50%,,
867,华宝品质生活股票,0.8517,-0.23%,-18.55%,-16.39%,-13.41%,-8.88%,-11.88%,,
868,国投瑞银增利宝货币A,0.6845,0.21%,0.77%,1.78%,3.87%,10.48%,14.61%,,
869,国投瑞银增利宝货币B,0.6845,0.21%,0.77%,1.78%,3.90%,10.53%,13.75%,,
870,嘉实新收益混合,0.9464,-4.32%,-16.71%,-28.37%,-30.00%,-23.08%,19.38%,,
871,北信瑞丰宜投宝A,1.436,0.22%,0.78%,1.72%,3.77%,9.54%,12.25%,,
872,北信瑞丰宜投宝B,1.5019,0.24%,0.84%,1.84%,4.02%,10.33%,13.31%,,
873,华安现金宝货币A,0.7216,0.23%,0.72%,1.62%,3.81%,--,6.29%,,
874,华安现金宝货币B,0.7892,0.25%,0.78%,1.75%,4.06%,--,6.70%,,
875,建信稳定得利债券A,1.2279,0.57%,0.90%,2.42%,4.33%,12.24%,22.90%,,
876,建信稳定得利债券C,1.2089,0.50%,0.75%,2.20%,3.95%,10.91%,21.00%,,
877,华泰柏瑞量化优选混合,1.319,-0.60%,-7.77%,-13.62%,-19.17%,21.66%,43.54%,,
878,中海医药健康产业精选混合A,1.3661,-3.80%,-22.77%,-15.57%,2.94%,21.30%,36.70%,,
879,中海医药健康产业精选混合C,1.3304,-3.76%,-22.53%,-15.22%,3.10%,19.27%,33.10%,,
880,富国研究精选灵活配置,1.1753,-5.84%,-13.56%,-23.18%,-23.58%,-6.22%,16.00%,,
882,中金现金管家A,0.7285,0.23%,0.75%,1.67%,3.81%,9.95%,13.26%,,
883,中金现金管家B,0.7943,0.25%,0.81%,1.79%,4.07%,10.75%,14.31%,,
884,民生加银优选,1.1929,-2.85%,-15.03%,-12.54%,-5.09%,18.47%,19.30%,,
885,广发全球农业指数美元现汇,0.1811,-0.33%,0.78%,-1.53%,-3.78%,13.23%,3.08%,,
887,上投摩根稳进回报混合,0.9669,-0.21%,-1.63%,-1.63%,-2.46%,4.86%,16.92%,,
889,上投摩根纯债添利债券A,1.0382,0.00%,-0.57%,3.32%,4.94%,9.92%,12.35%,,
890,上投摩根纯债添利债券C ,1.0242,0.00%,-0.68%,0.20%,1.58%,5.47%,7.37%,,
891,博时现金宝货币B,0.8747,0.28%,0.95%,2.04%,4.27%,10.97%,14.91%,,
892,九泰天宝灵活配置混合A,1.157,-0.34%,0.61%,0.43%,-9.25%,22.96%,28.50%,,
893,工银创新动力,0.4967,-6.39%,-18.89%,-27.41%,-34.82%,-52.07%,-50.20%,,
894,中欧睿达定期开放混合,1.1685,-2.29%,-2.29%,-2.29%,-2.62%,9.61%,15.20%,,
895,国寿安保薪金宝货币,0.8116,0.25%,0.89%,1.95%,4.14%,11.44%,15.73%,,
896,鑫元聚鑫收益增强债A,0.946,0.31%,0.96%,1.23%,3.16%,3.71%,0.07%,,
897,鑫元聚鑫收益增强债C,0.9313,0.27%,0.85%,1.03%,2.73%,2.44%,-1.48%,,
898,华富恒稳纯债债券A,1.1752,0.51%,1.56%,2.62%,5.29%,11.48%,17.50%,,
899,华富恒稳纯债债券C,1.1542,0.44%,1.41%,2.40%,4.72%,9.90%,15.40%,,
901,国开货币A,0.656,0.21%,0.77%,1.75%,3.78%,10.83%,13.76%,,
902,国开货币B,0.7201,0.23%,0.83%,1.88%,4.04%,11.63%,14.78%,,
903,新华活期添利货币A,0.8978,0.27%,0.92%,1.95%,4.16%,10.75%,13.95%,,
904,银华回报灵活配置定期开放混合,0.9073,2.74%,-1.53%,-7.69%,-10.27%,-9.46%,15.05%,,
905,鹏华安盈宝货币,0.9949,0.28%,0.98%,2.05%,4.32%,12.10%,16.05%,,
906,广发全球精选股票美元现汇,0.2134,-3.94%,-12.99%,-18.29%,-15.91%,12.08%,10.89%,,
907,农银红利日结货币A,0.812,0.25%,0.83%,1.79%,3.86%,10.22%,13.72%,,
908,农银红利日结货币B,0.8778,0.27%,0.89%,1.92%,4.11%,11.02%,14.76%,,
910,鑫元合丰纯债C,1.0101,0.60%,1.77%,2.15%,3.63%,11.39%,16.35%,,
911,鑫元合丰纯债A,1.0121,0.62%,1.80%,2.21%,3.71%,6.05%,25.77%,,
912,英大现金宝货币,0.1975,0.19%,0.78%,1.71%,3.67%,10.47%,13.88%,,
913,农银医疗保健股票,0.9413,-4.99%,-24.84%,-16.74%,-6.48%,-3.57%,-5.67%,,
914,中加纯债债券,1.0134,0.84%,1.15%,1.88%,5.03%,15.25%,20.22%,,
916,前海开源股息率100强股票,0.9507,-2.45%,-7.90%,-15.80%,-18.54%,3.47%,23.34%,,
917,嘉实快线货币A,0.7643,0.24%,0.82%,1.81%,4.07%,10.74%,11.51%,,
920,易方达财富快线货币Y ,0.8325,0.25%,0.90%,1.93%,4.07%,11.27%,15.06%,,
921,中邮现金驿站A,0.6843,0.20%,0.67%,1.56%,3.74%,10.73%,13.95%,,
922,中邮现金驿站B,0.6956,0.20%,0.68%,1.58%,3.79%,10.90%,14.25%,,
923,中邮现金驿站C,0.711,0.21%,0.70%,1.61%,3.84%,11.07%,14.63%,,
924,宝盈先进制造混合,0.9454,-8.29%,-19.19%,-18.40%,-10.99%,-2.10%,-0.04%,,
925,汇添富外延增长主题,0.8367,-8.73%,-27.11%,-31.47%,-35.88%,-26.67%,-15.30%,,
926,中信建投睿信灵活配置混合A,0.654,-2.66%,-14.37%,-27.46%,-35.16%,-38.25%,-34.98%,,
927,博时大中华亚太精选美元现汇,0.1567,-4.74%,-15.46%,-22.41%,-22.21%,-5.95%,-17.80%,,
928,中融国企改革混合,0.8725,-1.67%,-8.70%,-10.74%,-11.55%,-21.69%,-11.90%,,
929,博时黄金ETFD,2.7505,1.04%,-0.43%,-2.01%,-2.94%,15.12%,20.76%,,
930,博时黄金ETFI,2.7034,1.03%,-0.44%,-2.02%,-3.05%,13.52%,10.92%,,
931,国寿安保尊益信用纯债一年,1.0272,0.69%,2.39%,3.22%,2.49%,8.54%,15.16%,,
932,前海开源睿远稳健增利混合A,1.2081,0.25%,0.58%,1.77%,5.50%,8.93%,20.80%,,
933,前海开源睿远稳健增利混合C,1.1691,0.26%,0.43%,1.47%,5.03%,6.56%,17.00%,,
934,国富大中华精选混合,1.2112,-5.87%,-15.70%,-18.27%,-15.40%,37.54%,15.40%,,
935,浙商汇金转型成长,0.6385,-1.99%,-8.96%,-11.36%,-20.99%,-36.38%,-31.11%,,
936,博时产业新动力混合A,1.3141,-2.32%,-11.18%,-17.22%,-11.72%,17.85%,32.93%,,
937,华商稳固添利债券A,0.8341,0.60%,0.24%,-3.24%,-22.97%,-19.56%,-16.50%,,
938,华商稳固添利债券C,0.8201,0.61%,0.24%,-3.29%,-23.18%,-20.58%,-17.80%,,
939,中银研究精选灵活配置混合,0.5904,-6.76%,-18.88%,-19.43%,-21.35%,-31.13%,-27.33%,,
940,富国中小盘精选混合,1.0056,-8.80%,-14.52%,-24.10%,-26.30%,-0.60%,-0.50%,,
942,广发信息技术联接A,0.7084,-11.78%,-21.25%,-32.16%,-35.53%,-36.19%,-29.14%,,
943,工银中高等级信用债债券A,1.0662,0.75%,1.51%,2.98%,5.32%,--,6.69%,,
944,工银中高等级信用债债券B,1.0532,0.76%,1.43%,2.82%,4.87%,--,5.39%,,
945,华夏医疗健康混合A,1.3446,-6.67%,-15.93%,-13.80%,-9.34%,6.06%,33.00%,,
946,华夏医疗健康混合C,1.3193,-6.79%,-16.08%,-14.09%,-9.81%,4.40%,30.50%,,
948,华夏沪港通恒生ETF联接A,1.1493,-3.02%,-6.32%,-8.54%,-5.56%,25.61%,14.93%,,
950,易方达沪深300非银ETF联接,0.7367,-2.04%,-0.42%,-15.99%,-19.35%,4.05%,-27.00%,,
951,中银理财90天债券A,0.9536,0.28%,1.05%,2.16%,4.51%,--,7.09%,,
952,中银理财90天债券B,1.0355,0.31%,1.12%,2.31%,4.82%,--,7.59%,,
953,国泰睿吉灵活配置混合A,0.8066,-4.71%,-19.02%,-26.23%,-22.96%,-8.79%,-6.24%,,
954,国泰睿吉灵活配置混合C,0.8026,-4.73%,-19.42%,-26.63%,-23.50%,-10.13%,-10.49%,,
955,南方产业活力,0.8968,-5.37%,-14.79%,-21.28%,-25.02%,-19.88%,-10.10%,,
958,东吴鼎元A,0.9941,-1.00%,-3.50%,-5.96%,-5.33%,--,-0.60%,,
959,东吴鼎元C,0.9941,-1.00%,-3.59%,-5.96%,-5.60%,--,-0.60%,,
960,招商医药健康产业股票,1.0007,-10.92%,-21.46%,-16.83%,-10.53%,0.40%,0.30%,,
961,天弘沪深300指数A,0.9563,-0.93%,-7.91%,-16.16%,-16.66%,-3.33%,-4.43%,,
962,天弘中证500指数A,0.7254,-7.95%,-15.76%,-26.67%,-32.94%,-31.42%,-27.39%,,
963,兴业多策略混合,1.0708,-1.48%,-7.29%,-13.10%,-18.41%,-9.64%,6.80%,,
965,汇丰晋信新动力混合,0.6063,-12.44%,-24.88%,-31.05%,-33.47%,-25.77%,-39.52%,,
966,中邮核心科技创新灵活配置混合,0.7956,-6.23%,-13.26%,-16.96%,-18.07%,-16.44%,-20.20%,,
967,华泰柏瑞创新动力混合,1.2778,-0.39%,-10.25%,-8.84%,-4.70%,15.87%,27.79%,,
968,广发养老指数A,0.8266,-5.92%,-19.59%,-24.63%,-23.65%,-17.65%,-17.34%,,
969,前海开源大安全混合,0.9433,1.50%,-9.55%,-12.07%,-13.12%,-16.27%,-5.30%,,
970,东方红睿元混合,2.0916,-6.56%,-10.91%,-16.96%,-10.74%,49.33%,89.50%,,
971,诺安新经济股票,0.5586,-11.08%,-21.18%,-34.50%,-40.53%,-42.59%,-43.80%,,
972,新华万银策略灵活配置混合,0.9432,-1.90%,-5.39%,-15.75%,-14.43%,3.44%,-6.90%,,
973,新华增盈回报债券,1.2122,-0.25%,-0.08%,-1.31%,2.37%,17.49%,20.90%,,
974,安信消费医药股票,1.1702,-1.01%,-17.29%,-22.21%,-18.36%,23.36%,22.13%,,
975,MSCI中国A股国际通联接A,0.8926,-2.75%,-7.43%,-18.81%,-20.20%,-4.32%,-11.50%,,
976,长城新兴产业混合,1.0196,-1.86%,-12.45%,-16.65%,-14.98%,-8.36%,2.36%,,
977,长城环保主题混合,0.7428,-5.84%,-14.45%,-20.15%,-27.86%,-21.90%,-25.34%,,
978,景顺长城量化精选股票,1.052,-7.75%,-18.39%,-26.85%,-28.86%,-2.73%,9.13%,,
979,景顺长城沪港深精选股票,0.965,0.63%,-4.86%,-9.26%,-10.53%,16.79%,-4.00%,,
980,汇添富添富通货币B,1.1986,0.26%,0.72%,1.58%,3.56%,10.15%,12.71%,,
981,北信瑞丰现金添利A,0.5265,0.20%,0.65%,1.55%,3.53%,9.24%,11.16%,,
982,北信瑞丰现金添利B,0.593,0.22%,0.71%,1.67%,3.78%,10.04%,12.16%,,
984,民生加银新收益债券A,,,,,,,,,
985,嘉实逆向策略股票,0.7964,-12.71%,-18.64%,-36.50%,-36.29%,-25.75%,-21.00%,,
986,太平灵活配置,0.6323,-2.78%,-11.14%,-13.46%,-12.62%,-17.43%,-37.00%,,
987,民生加银新收益债券C,,,,,,,,,
988,嘉实全球互联网股票人民币,1.3325,-9.22%,-12.60%,-7.21%,-10.49%,63.09%,33.90%,,
989,嘉实全球互联网股票美元现汇,1.1769,-10.04%,-16.28%,-15.56%,-14.89%,49.37%,18.30%,,
990,嘉实全球互联网股票美元现钞,1.1769,-8.71%,-16.20%,-14.83%,-13.90%,50.88%,19.50%,,
991,工银战略转型股票,0.9447,-11.51%,-16.06%,-26.44%,-17.52%,10.26%,-5.40%,,
992,广发对冲套利定期开放混合,1.1281,-1.32%,-1.66%,-0.44%,0.45%,0.36%,12.50%,,
993,华宝稳健回报混合,0.7159,-4.56%,-17.88%,-23.19%,-28.44%,-22.27%,-28.80%,,
994,建信睿盈灵活配置混合A,0.8628,-3.83%,-12.87%,-19.76%,-17.90%,-15.88%,-14.70%,,
995,建信睿盈灵活配置混合C,0.8327,-3.86%,-13.00%,-20.02%,-18.51%,-17.95%,-17.70%,,
996,中银新动力股票,0.4996,-6.52%,-20.70%,-29.79%,-39.30%,-49.04%,-49.80%,,
997,南方双元A,1.0508,0.86%,1.74%,1.16%,1.84%,3.92%,7.66%,,
998,南方双元C,1.0418,0.87%,1.76%,0.97%,1.46%,3.13%,6.74%,,
1000,中欧明睿新起点混合,0.7373,-5.38%,-23.97%,-28.81%,-33.06%,-27.90%,-26.10%,,
1001,华夏债券A/B,1.0319,-0.01%,0.56%,-0.01%,0.85%,4.87%,127.54%,,
1002,华夏债券A/B(后端),,,,,,,,,
